Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
8.049,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.05,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.051,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.052,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.053,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.054,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.055,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.056,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.057,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.058,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.059,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.06,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.061,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.062,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.063,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.064,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.065,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.066,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.067,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.068,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
